customer_id,type_of_client,education,marital_status,Revenue,type_of_sale,occupation_type,Country,employment_type
0,NULL,,,890784.20,No,,,
183582,NULL,HS-grad,Married-civ-spouse,959.12,No,Machine-op-inspct,United-States,Private
1765943,NULL,HS-grad,Married-civ-spouse,56.30,No,Adm-clerical,United-States,Federal-gov
3173172,Personal,Masters,Never-married,6.55,No,Exec-managerial,United-States,Private
9046402,NULL,Bachelors,Married-civ-spouse,147.09,No,Prof-specialty,United-States,Private
10304995,NULL,HS-grad,Married-civ-spouse,119.32,No,Exec-managerial,United-States,Private
10327107,NULL,Some-college,Divorced,1283.48,No,Prof-specialty,United-States,Private
10976223,NULL,Prof-school,Never-married,534.08,No,Exec-managerial,Cuba,Private
12065807,Wholesaler,HS-grad,Married-civ-spouse,2094.61,No,Transport-moving,United-States,Federal-gov
13433438,NULL,HS-grad,Widowed,98.65,No,Sales,United-States,Private
14694739,Wholesaler,Prof-school,Married-civ-spouse,480.30,No,Prof-specialty,United-States,Private
14720096,NULL,HS-grad,Never-married,171.55,No,Handlers-cleaners,United-States,Local-gov
16841603,NULL,12th,Married-spouse-absent,112.93,No,Other-service,United-States,Private
19115873,NULL,HS-grad,Divorced,80.19,No,Craft-repair,United-States,Private
19703136,Wholesaler,Some-college,Married-civ-spouse,2433.26,No,Other-service,United-States,Private
22466613,Wholesaler,Bachelors,Married-civ-spouse,3238.20,No,Tech-support,United-States,Private
23919928,NULL,Bachelors,Married-civ-spouse,1146.98,No,Prof-specialty,United-States,State-gov
24717403,NULL,HS-grad,Never-married,10102.32,No,Other-service,United-States,Private
24933036,NULL,HS-grad,Married-civ-spouse,316.34,No,Machine-op-inspct,United-States,Private
25679765,NULL,Some-college,Married-civ-spouse,417.37,No,Machine-op-inspct,United-States,Private
25944813,NULL,Assoc-acdm,Never-married,313.77,No,Machine-op-inspct,United-States,Private
26294059,NULL,Some-college,Never-married,164.05,No,Prof-specialty,United-States,Private
26944650,NULL,9th,Never-married,267.52,No,Craft-repair,United-States,Self-emp-inc
28946227,NULL,HS-grad,Never-married,-3.50,return,Handlers-cleaners,United-States,Private
30061301,NULL,HS-grad,Never-married,145.25,No,Machine-op-inspct,United-States,Private
