customer_id,type_of_client,education,marital_status,race,relationship_in_household,Quantity,Revenue,1st_qtr_qty,2nd_qtr_qty,3rd_qtr_qty,4th_qtr_qty,1st_qtr_rev,2nd_qtr_rev,3rd_qtr_rev,4th_qtr_rev,type_of_sale,duration_visit_month,frequency_of_visit_day,occupation_type,Country,employment_type
0,NULL,,,,,133818,890784.20,28827,-7733,32819,79905,141409.56,135873.82,169444.79,444056.03,No,11,109674,,,
183582,NULL,HS-grad,Married-civ-spouse,White,Husband,335,959.12,108,0,169,58,298.34,0.00,485.64,175.14,No,8,127,Machine-op-inspct,United-States,Private
1765943,NULL,HS-grad,Married-civ-spouse,Other,Husband,16,56.30,16,0,0,0,56.30,0.00,0.00,0.00,No,0,5,Adm-clerical,United-States,Federal-gov
3173172,Personal,Masters,Never-married,White,Own-child,3,6.55,0,0,0,3,0.00,0.00,0.00,6.55,No,1,3,Exec-managerial,United-States,Private
9046402,NULL,Bachelors,Married-civ-spouse,Black,Husband,63,147.09,0,0,0,63,0.00,0.00,0.00,147.09,No,0,47,Prof-specialty,United-States,Private
10304995,NULL,HS-grad,Married-civ-spouse,White,Husband,63,119.32,0,0,63,0,0.00,0.00,119.32,0.00,No,0,18,Exec-managerial,United-States,Private
10327107,NULL,Some-college,Divorced,White,Not-in-family,423,1283.48,0,0,335,88,0.00,0.00,1051.40,232.08,No,5,142,Prof-specialty,United-States,Private
10976223,NULL,Prof-school,Never-married,White,Not-in-family,257,534.08,257,0,0,0,534.08,0.00,0.00,0.00,No,1,88,Exec-managerial,Cuba,Private
12065807,Wholesaler,HS-grad,Married-civ-spouse,White,Husband,834,2094.61,117,376,86,255,299.72,701.54,259.86,833.49,No,11,171,Transport-moving,United-States,Federal-gov
13433438,NULL,HS-grad,Widowed,White,Own-child,21,98.65,21,0,0,0,98.65,0.00,0.00,0.00,No,0,8,Sales,United-States,Private
14694739,Wholesaler,Prof-school,Married-civ-spouse,White,Husband,479,480.30,0,0,95,384,0.00,0.00,207.37,272.93,No,5,44,Prof-specialty,United-States,Private
14720096,NULL,HS-grad,Never-married,White,Own-child,62,171.55,0,0,0,62,0.00,0.00,0.00,171.55,No,0,15,Handlers-cleaners,United-States,Local-gov
16841603,NULL,12th,Married-spouse-absent,Black,Unmarried,29,112.93,0,0,29,0,0.00,0.00,112.93,0.00,No,0,16,Other-service,United-States,Private
19115873,NULL,HS-grad,Divorced,White,Not-in-family,25,80.19,0,16,0,9,0.00,49.84,0.00,30.35,No,7,4,Craft-repair,United-States,Private
19703136,Wholesaler,Some-college,Married-civ-spouse,Black,Wife,836,2433.26,100,127,609,0,275.75,456.78,1700.73,0.00,No,6,285,Other-service,United-States,Private
22466613,Wholesaler,Bachelors,Married-civ-spouse,White,Husband,1615,3238.20,263,298,734,320,265.41,841.35,1422.27,709.17,No,11,203,Tech-support,United-States,Private
23919928,NULL,Bachelors,Married-civ-spouse,White,Husband,370,1146.98,0,0,90,280,0.00,0.00,282.23,864.75,No,5,123,Prof-specialty,United-States,State-gov
24717403,NULL,HS-grad,Never-married,White,Own-child,5605,10102.32,1044,571,2502,1488,1991.58,1054.95,4336.36,2719.43,No,11,257,Other-service,United-States,Private
24933036,NULL,HS-grad,Married-civ-spouse,White,Husband,339,316.34,0,52,0,287,0.00,101.77,0.00,214.57,No,7,27,Machine-op-inspct,United-States,Private
25679765,NULL,Some-college,Married-civ-spouse,White,Husband,114,417.37,52,63,0,-1,219.12,207.20,0.00,-8.95,No,11,37,Machine-op-inspct,United-States,Private
25944813,NULL,Assoc-acdm,Never-married,Black,Not-in-family,104,313.77,0,0,60,44,0.00,0.00,113.57,200.20,No,3,31,Machine-op-inspct,United-States,Private
26294059,NULL,Some-college,Never-married,White,Own-child,21,164.05,0,0,0,21,0.00,0.00,0.00,164.05,No,0,9,Prof-specialty,United-States,Private
26944650,NULL,9th,Never-married,White,Own-child,77,267.52,0,18,0,59,0.00,76.97,0.00,190.55,No,6,29,Craft-repair,United-States,Self-emp-inc
28946227,NULL,HS-grad,Never-married,White,Not-in-family,-7,-3.50,0,0,25,-32,0.00,0.00,60.50,-64.00,return,2,14,Handlers-cleaners,United-States,Private
30061301,NULL,HS-grad,Never-married,White,Own-child,21,145.25,0,0,0,21,0.00,0.00,0.00,145.25,No,0,7,Machine-op-inspct,United-States,Private
30720771,NULL,Bachelors,Married-civ-spouse,White,Husband,6000,1920.00,1000,2000,0,3000,320.00,640.00,0.00,960.00,No,8,3,Sales,United-States,Private
30809284,NULL,Some-college,Married-civ-spouse,Black,Husband,4417,13326.58,499,286,62,3570,1683.60,956.67,213.90,10472.41,No,10,107,Protective-serv,United-States,Private
31201847,NULL,Masters,Never-married,White,Not-in-family,-814,-794.38,38,0,0,-852,88.70,0.00,0.00,-883.08,return,10,25,Prof-specialty,United-States,Local-gov
32160300,NULL,HS-grad,Divorced,Black,Unmarried,25,118.75,25,0,0,0,118.75,0.00,0.00,0.00,No,0,6,Prof-specialty,United-States,Private
32689318,Wholesaler,HS-grad,Married-civ-spouse,White,Husband,122,461.06,48,0,0,74,138.36,0.00,0.00,322.70,No,9,42,Adm-clerical,United-States,Private
34901908,NULL,Some-college,Never-married,White,Not-in-family,168,640.01,51,0,117,0,216.95,0.00,423.06,0.00,No,6,61,Other-service,United-States,Private
35505250,NULL,Assoc-acdm,Married-civ-spouse,White,Husband,322,461.92,0,0,0,322,0.00,0.00,0.00,461.92,No,1,127,Craft-repair,United-States,Private
36656745,NULL,HS-grad,Divorced,White,Own-child,95,224.30,0,59,0,36,0.00,116.60,0.00,107.70,No,6,55,Craft-repair,Puerto-Rico,Local-gov
